Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Short_Description,Long_Description,Keyfacts,Medicine
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.","Bronchial asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to difficulty in breathing. It is often triggered by various environmental factors such as allergens (like pollen, dust mites, and pet dander), irritants (such as smoke and strong odors), respiratory infections, exercise, and changes in weather. Common symptoms include wheezing, coughing, shortness of breath, and chest tightness, which can vary in frequency and severity. Asthma attacks may occur suddenly and can be life-threatening if not managed properly. Diagnosis typically involves a combination of medical history, physical examination, and lung function tests, such as spirometry, to assess the degree of airway obstruction. Treatment focuses on controlling symptoms and preventing attacks through the use of inhaled corticosteroids, bronchodilators, and avoiding known triggers. Long-term management often includes the development of an asthma action plan, regular monitoring, and education on proper inhaler techniques. While asthma is a lifelong condition, effective management allows many individuals to lead healthy and active lives.","Asthma is a long-term lung condition that is caused by narrowing of the airways when they become inflamed. The most common symptoms of asthma are: wheezing, coughing, feeling ‘out of breath’ and tightness in the chest. Symptoms are usually mild, but they can flare up. This can cause an ‘asthma attack’ and may require hospital care. There are effective medicines for asthma that will help you feel well and keep you out of hospital, when taken correctly. Asthma can be managed. Preventer medicines can prevent symptoms. Reliever inhalers treat your symptoms and help when you have an asthma attack. Asthma is a long-term lung condition that is caused by narrowing of the airways when they become inflamed. The most common symptoms of asthma are: wheezing, coughing, feeling ‘out of breath’ and tightness in the chest. Symptoms are usually mild, but they can flare up. This can cause an ‘asthma attack’ and may require hospital care. There are effective medicines for asthma that will help you feel well and keep you out of hospital, when taken correctly. Asthma can be managed. Preventer medicines can prevent symptoms. Reliever inhalers treat your symptoms and help when you have an asthma attack.","sumatriptan (Imitrex, Tosymra) and rizatriptan (Maxalt, Maxalt-MLT)"
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol","Alcoholic hepatitis is a serious condition characterized by inflammation of the liver caused by excessive alcohol consumption. It can occur in people who drink heavily over a prolonged period, but it can also develop in those with a shorter history of heavy drinking. Symptoms often include jaundice (yellowing of the skin and eyes), abdominal pain, nausea, vomiting, loss of appetite, and fatigue. Severe cases can lead to complications such as liver failure, ascites (fluid accumulation in the abdomen), and hepatic encephalopathy (confusion and altered mental state due to liver dysfunction). Diagnosis is typically made through a combination of medical history, physical examination, blood tests to assess liver function, and imaging studies. Treatment primarily involves abstaining from alcohol, which is crucial for recovery, along with supportive care to manage symptoms and nutritional support. In some cases, corticosteroids may be prescribed to reduce liver inflammation. Early intervention and lifestyle changes are essential for improving outcomes and preventing further liver damage, as alcoholic hepatitis can progress to more severe liver disease or cirrhosis if not addressed promptly.",Alcohol-induced hepatitis is inflammation of the liver caused by alcohol use. Too much alcohol overloads the liver with toxins that injure the tissues. People with this condition should ask their healthcare providers for help to quit drinking in order to prevent further liver damage.,corticosteroids and pentoxifylline
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it","Jaundice is a medical condition characterized by the yellowing of the skin and the sclera (the white part of the eyes) due to an excess of bilirubin, a yellow pigment produced during the breakdown of red blood cells. It can be a sign of various underlying health issues, primarily related to liver function, bile duct obstruction, or hemolysis (the rapid breakdown of red blood cells). Jaundice can be classified into three main types: pre-hepatic (caused by increased bilirubin production from hemolysis), hepatic (due to liver diseases such as hepatitis, cirrhosis, or liver cancer), and post-hepatic (resulting from bile duct obstruction, such as gallstones or tumors). Symptoms accompanying jaundice may include dark urine, pale stools, itching, and fatigue. Diagnosis typically involves blood tests to measure bilirubin levels and assess liver function, along with imaging studies to identify potential obstructions or liver damage. Treatment depends on the underlying cause; for instance, addressing liver disease, relieving bile duct obstructions, or managing hemolytic conditions. Early diagnosis and appropriate management are crucial to prevent complications and improve patient outcomes.",Jaundice is when your skin and the whites of your eyes turn yellow. It’s caused by the build-up of a substance called bilirubin in your blood. There are many causes of jaundice. It’s important to see your doctor as soon as possible if you think you might have jaundice.,"iron supplements, antihistamines, cholestyramine, rifampin and naltrexone"
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,"Hepatitis E is a viral infection caused by the hepatitis E virus (HEV), primarily transmitted through the consumption of contaminated water or food. It is most common in areas with poor sanitation and is often associated with outbreaks, particularly in developing countries. Symptoms typically appear 2 to 10 weeks after exposure and can include fatigue, fever, nausea, abdominal pain, and jaundice (yellowing of the skin and eyes). While hepatitis E usually causes an acute infection that resolves on its own, it can be particularly severe in pregnant women, potentially leading to complications such as fulminant liver failure. Diagnosis is generally confirmed through blood tests that detect HEV antibodies or viral RNA. There is no specific antiviral treatment for hepatitis E; management focuses on supportive care, including hydration and rest. Preventive measures emphasize improving sanitation, access to clean water, and proper food handling practices. While hepatitis E is often self-limiting, awareness and prompt management are important, especially in high-risk populations.",Hepatitis E is a liver disease caused by the hepatitis E virus (HEV). Hepatitis E is common in many parts of the world where sanitation is poor. Most people recover fully from hepatitis E without any complications. Hepatitis E can only be diagnosed with laboratory tests.,
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.","Dengue is a viral infection transmitted primarily by Aedes mosquitoes, particularly Aedes aegypti, and is prevalent in tropical and subtropical regions. The infection can cause a wide range of symptoms, from mild to severe, including high fever, severe headache, joint and muscle pain, rash, and mild bleeding such as nosebleeds or gum bleeding. In some cases, dengue can progress to severe dengue, which may lead to serious complications like organ failure and severe bleeding. The incubation period typically lasts 4 to 10 days after a mosquito bite, and diagnosis is made through blood tests that detect the virus or antibodies. While there is no specific antiviral treatment for dengue, management focuses on supportive care, including hydration and pain relief, while avoiding non-steroidal anti-inflammatory drugs (NSAIDs) to reduce bleeding risks. Preventive measures include mosquito control, using insect repellent, and wearing protective clothing, along with vaccines available in some countries for individuals at risk. Awareness and prevention are crucial in controlling the spread of dengue, especially in endemic areas.","Dengue fever is caused by the dengue virus. You can catch dengue fever when a mosquito infected with dengue virus bites you. Most people who have dengue fever recover in about a week, but sometimes the infection is more serious. Dengue fever is caused by the dengue virus. You can catch dengue fever when a mosquito infected with dengue virus bites you. Most people who have dengue fever recover in about a week, but sometimes the infection is more serious.",
Hepatitis D,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).","Hepatitis D is a viral infection caused by the hepatitis D virus (HDV), which only occurs in individuals already infected with hepatitis B virus (HBV). It is considered a satellite virus because it requires the presence of HBV to replicate. Hepatitis D can worsen the severity of hepatitis B infections, leading to increased liver inflammation and a higher risk of cirrhosis and liver cancer. Transmission of HDV occurs through contact with infected blood, similar to hepatitis B, and can also be spread through unprotected sexual contact and from mother to child during childbirth. Symptoms of hepatitis D can resemble those of hepatitis B, including fatigue, jaundice, abdominal pain, dark urine, and loss of appetite. Diagnosis is typically made through blood tests that detect HDV antibodies and assess liver function. Treatment options are limited; managing hepatitis D often involves controlling the underlying hepatitis B infection, usually with antiviral medications. Prevention primarily focuses on hepatitis B vaccination, as preventing HBV infection also prevents HDV infection. Awareness and timely medical intervention are crucial for individuals at risk of hepatitis D, particularly those with chronic hepatitis B.","Hepatitis D is a liver disease caused by the hepatitis D virus (HDV). Only people with hepatitis B can contract HDV. Hepatitis B vaccination provides protection against hepatitis B and, therefore, against hepatitis D. People with hepatitis D show severe symptoms of the disease.","entecavir (Baraclude), tenofovir (Viread), lamivudine (Epivir) and adefovir (Hepsera)"
Heart attack,call ambulance,chew or swallow asprin,keep calm,,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.","A heart attack, or myocardial infarction, occurs when blood flow to a part of the heart is blocked, typically by a blood clot in a coronary artery. This blockage prevents oxygen-rich blood from reaching the heart muscle, leading to damage or death of heart tissue. Common risk factors include high blood pressure, high cholesterol, smoking, diabetes, obesity, a sedentary lifestyle, and a family history of heart disease. Symptoms of a heart attack can vary but often include chest pain or discomfort, shortness of breath, nausea, lightheadedness, and pain that may radiate to the arms, back, neck, or jaw. Immediate medical attention is critical, as prompt treatment can restore blood flow and minimize heart damage. Diagnosis usually involves physical examinations, electrocardiograms (ECGs), and blood tests to check for heart damage markers. Treatment may include medications to dissolve clots, procedures like angioplasty to open blocked arteries, or surgery such as coronary artery bypass grafting (CABG). Preventive measures focus on lifestyle changes, including a heart-healthy diet, regular exercise, and managing risk factors. Early recognition of symptoms and rapid response can significantly improve outcomes for individuals experiencing a heart attack.","A heart attack occurs when the blood supply to your heart is blocked and your heart muscle can’t get enough oxygen. Common symptoms of a heart attack are chest pain, feeling breathless and sweating. Heart attacks are mostly caused by coronary heart disease. You can reduce your risk of having a heart attack by adopting a healthy lifestyle. severe getting worse, or lasting longer than 10 minutes A heart attack occurs when the blood supply to your heart is blocked and your heart muscle can’t get enough oxygen. Common symptoms of a heart attack are chest pain, feeling breathless and sweating. Heart attacks are mostly caused by coronary heart disease. You can reduce your risk of having a heart attack by adopting a healthy lifestyle. severe getting worse, or lasting longer than 10 minutes","aspirin, thrombolytics, heparin, nitroglycerin, morphine, beta blockers, ace inhibitors and statins"
Pneumonia,consult doctor,medication,rest,follow up,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.","Pneumonia is an infection that inflames the air sacs in one or both lungs, which may fill with fluid or pus, leading to symptoms such as cough, fever, chills, and difficulty breathing. It can be caused by various pathogens, including bacteria, viruses, and fungi. The most common bacterial cause is Streptococcus pneumoniae, while viral pneumonia can often result from infections like influenza or COVID-19. Symptoms can vary from mild to severe and may include chest pain, fatigue, and a productive cough that produces phlegm. Diagnosis typically involves a physical examination, medical history, chest X-rays, and sometimes blood tests or sputum cultures to identify the causative agent. Treatment depends on the type of pneumonia and its severity; bacterial pneumonia is usually treated with antibiotics, while viral pneumonia may require antiviral medications and supportive care. Preventive measures include vaccination against influenza and pneumococcal bacteria, as well as practicing good hygiene and avoiding smoking. Prompt diagnosis and treatment are crucial for improving outcomes, especially in high-risk populations such as the elderly, young children, and individuals with compromised immune systems.","Pneumococcal disease is a bacterial infection caused by streptococcus pneumoniae. The bacteria are easily spread through coughing, sneezing, saliva and mucus. Your symptoms can range from mild to severe, depending on where the infection is in your body. Pneumococcal disease can be treated with antibiotics. The best protection against pneumococcal disease is vaccination.","antibiotics (Azithromycin, Amoxicillin, Levofloxacin), antivirals (Oseltamivir, Acyclovir) and antifungals (Fluconazole, Voriconazole)"
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.","Arthritis is a term encompassing a range of inflammatory joint conditions that lead to pain, stiffness, swelling, and reduced range of motion. The most common types include osteoarthritis, a degenerative joint disease caused by wear and tear on the cartilage, and rheumatoid arthritis, an autoimmune disorder where the immune system attacks the joints, resulting in chronic inflammation. Symptoms can vary but typically feature joint pain, tenderness, and stiffness, often worsening in the morning or after periods of inactivity. Diagnosis involves medical history, physical examination, imaging tests, and lab tests to determine the specific type of arthritis. Treatment options include pain-relief medications, physical therapy, lifestyle changes, and sometimes surgical procedures to repair or replace damaged joints. Regular exercise, maintaining a healthy weight, and stress management are also crucial for symptom relief. While arthritis is a chronic condition, effective management can greatly enhance the quality of life for those affected.","Arthritis is the name for a group of conditions that affect the joints in your body. It causes damage to your joints, usually resulting in discomfort and pain. There are many different types of arthritis, and treatment depends on the type. Arthritis is the name for a group of conditions that affect the joints in your body. It causes damage to your joints, usually resulting in discomfort and pain. There are many different types of arthritis, and treatment depends on the type.","buprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve)"
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","Gastroenteritis, often referred to as the stomach flu, is an inflammation of the stomach and intestines caused by viral, bacterial, or parasitic infections. Common viruses include norovirus and rotavirus, while bacteria such as Escherichia coli and Salmonella can also be culprits. Symptoms typically include diarrhea, vomiting, abdominal cramps, fever, and dehydration. The condition is highly contagious, spreading through contaminated food or water, close contact with infected individuals, or surfaces contaminated with pathogens. Diagnosis is usually based on medical history and symptoms, although stool tests may be conducted to identify specific pathogens. Treatment primarily focuses on hydration to prevent dehydration, with oral rehydration solutions recommended for mild cases. In more severe cases, intravenous fluids may be necessary. While gastroenteritis often resolves on its own within a few days, preventive measures, such as practicing good hygiene, proper food handling, and vaccination (for rotavirus), are key to reducing the risk of infection. Most individuals recover fully, but it is important to monitor for signs of severe dehydration, particularly in young children and the elderly.","Gastroenteritis ('gastro') is a common and very contagious illness that can affect your stomach and intestines, causing vomiting and diarrhoea. Babies under 6 months should always see a doctor if you think they may have gastro. Treatment of gastroenteritis includes drinking fluids to avoid dehydration — your doctor might not need to prescribe medicines. Reduce your risk of catching or spreading gastro by washing your hands well after using the bathroom, changing nappies and before handling food or eating. Children and adults should not return to school or work until 48 hours after the last episode of diarrhoea and/or vomiting. Gastroenteritis ('gastro') is a common and very contagious illness that can affect your stomach and intestines, causing vomiting and diarrhoea. Babies under 6 months should always see a doctor if you think they may have gastro. Treatment of gastroenteritis includes drinking fluids to avoid dehydration — your doctor might not need to prescribe medicines. Reduce your risk of catching or spreading gastro by washing your hands well after using the bathroom, changing nappies and before handling food or eating. Children and adults should not return to school or work until 48 hours after the last episode of diarrhoea and/or vomiting.","loperamide link (Imodium) and bismuth subsalicylate link (Pepto-Bismol, Kaopectate)"
Tuberculosis,cover mouth,consult doctor,medication,rest,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.","Tuberculosis (TB) is a contagious bacterial infection caused by Mycobacterium tuberculosis, primarily affecting the lungs but can also impact other parts of the body. TB spreads through the air when an infected person coughs, sneezes, or talks, releasing tiny droplets that contain the bacteria. Symptoms of active TB often include a persistent cough, chest pain, weight loss, fever, night sweats, and fatigue. Some individuals may have latent TB, where the bacteria remain inactive in the body without causing symptoms but can reactivate later. Diagnosis typically involves a combination of skin tests, blood tests, chest X-rays, and sputum tests to detect the bacteria. Treatment for TB usually requires a lengthy course of multiple antibiotics, typically lasting six to nine months, to effectively eliminate the infection and prevent the development of drug-resistant strains. Adherence to the treatment regimen is crucial for successful recovery. Preventive measures include vaccination with the Bacillus Calmette-Gu�rin (BCG) vaccine in certain populations, as well as improving living conditions and access to healthcare. While TB is a preventable and treatable disease, it remains a significant global health challenge, particularly in areas with high rates of infection and limited healthcare resources.","Tuberculosis (TB) is an infectious disease that can affect any part of your body, most commonly your lungs. TB can be latent (where you don’t have any symptoms and are not infectious), or active (where you are unwell). The tuberculin skin test or a blood test can check if you have been infected with TB. TB can be treated with a combination of antibiotics that you will need to take for at least 6 months. The BCG vaccine prevents you becoming very unwell with TB, but it is only recommended in Australia for people at high risk of exposure to TB.","isoniazid, rifampicin, pyrazinamide, and ethambutol"
